 0.20    0.23418027E-01
 0.25    0.36397351E-01
 0.30    0.52103114E-01
 0.35    0.70462009E-01
 0.40    0.91398768E-01
 0.45    0.11483405E+00
 0.50    0.14068604E+00
 0.55    0.16887175E+00
 0.60    0.19930366E+00
 0.65    0.23189486E+00
 0.70    0.26655464E+00
 0.75    0.30319016E+00
 0.80    0.34170724E+00
 0.85    0.38200822E+00
 0.90    0.42399420E+00
 0.95    0.46756336E+00
 1.00    0.51261156E+00
 1.05    0.55903207E+00
 1.10    0.60671557E+00
 1.15    0.65555002E+00
 1.20    0.70542060E+00
 1.25    0.75620966E+00
 1.30    0.80779664E+00
 1.35    0.86005803E+00
 1.40    0.91286725E+00
 1.45    0.96609474E+00
 1.50    0.10196078E+01
 1.55    0.10732709E+01
 1.60    0.11269450E+01
 1.65    0.11804886E+01
 1.70    0.12337570E+01
 1.75    0.12866027E+01
 1.80    0.13388757E+01
 1.85    0.13904235E+01
 1.90    0.14410914E+01
 1.95    0.14907228E+01
 2.00    0.15391595E+01
 2.05    0.15862426E+01
 2.10    0.16318122E+01
 2.15    0.16757087E+01
 2.20    0.17177731E+01
 2.25    0.17578479E+01
 2.30    0.17957779E+01
 2.35    0.18314113E+01
 2.40    0.18646002E+01
 2.45    0.18952029E+01
 2.50    0.19230829E+01
 2.55    0.19481134E+01
 2.60    0.19701753E+01
 2.65    0.19891607E+01
 2.70    0.20049726E+01
 2.75    0.20175293E+01
 2.80    0.20267612E+01
 2.85    0.20326159E+01
 2.90    0.20350580E+01
 2.95    0.20340692E+01
 3.00    0.20296507E+01
 3.05    0.20218226E+01
 3.10    0.20106254E+01
 3.15    0.19961198E+01
 3.20    0.19783858E+01
 3.25    0.19575230E+01
 3.30    0.19336498E+01
 3.35    0.19069018E+01
 3.40    0.18774313E+01
 3.45    0.18454058E+01
 3.50    0.18110057E+01
 3.55    0.17744224E+01
 3.60    0.17358562E+01
 3.65    0.16955143E+01
 3.70    0.16536081E+01
 3.75    0.16103512E+01
 3.80    0.15659572E+01
 3.85    0.15206373E+01
 3.90    0.14745986E+01
 3.95    0.14280418E+01
 4.00    0.13811604E+01
 4.05    0.13341385E+01
 4.10    0.12871498E+01
 4.15    0.12403573E+01
 4.20    0.11939114E+01
 4.25    0.11479507E+01
 4.30    0.11026007E+01
 4.35    0.10579743E+01
 4.40    0.10141719E+01
 4.45    0.97128117E+00
